#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 880.1 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.03100      8.48582     -1.00000      0.23361      0.23489      0.00011    1.261e-05     3.04e-07   8.116e-06     3.97e-07   8.993e-10     6.45e-11
     0.03200      8.75958     -1.00000      0.23390      0.23519      0.00011    1.190e-05     2.94e-07   7.984e-06     3.91e-07   9.453e-10     6.77e-11
     0.03300      9.03333     -1.00000      0.23419      0.23547      0.00011    1.124e-05     2.83e-07   7.859e-06     3.86e-07   9.910e-10     7.08e-11
     0.03400      9.30709     -1.00000      0.23446      0.23574      0.00011    1.063e-05     2.80e-07   7.741e-06     3.81e-07   1.036e-09     7.39e-11
     0.03500      9.58084     -1.00000      0.23472      0.23601      0.00011    1.006e-05     3.14e-07   7.629e-06     3.79e-07   1.081e-09     7.70e-11
     0.03600      9.85460     -1.00000      0.23498      0.23627      0.00011    9.533e-06     2.70e-07   7.524e-06     3.75e-07   1.126e-09     8.01e-11
     0.03700     10.12836     -1.00000      0.23523      0.23652      0.00011    9.038e-06     2.46e-07   7.423e-06     3.71e-07   1.170e-09     8.31e-11
     0.03800     10.40212     -1.00000      0.23547      0.23676      0.00011    8.574e-06     2.62e-07   7.327e-06     3.67e-07   1.213e-09     8.61e-11
     0.03900     10.67588     -1.00000      0.23570      0.23699      0.00011    8.141e-06     2.49e-07   7.236e-06     3.63e-07   1.256e-09     8.92e-11
     0.04000     10.94963     -1.00000      0.23593      0.23722      0.00011    7.734e-06     2.47e-07   7.149e-06     3.61e-07   1.298e-09     9.21e-11

     0.00500      1.36835     -0.50000      0.21980      0.22103      0.00012    2.555e-04     3.29e-06   2.779e-05     4.67e-07   1.936e-10     1.03e-10
     0.00600      1.64226     -0.50000      0.22279      0.22403      0.00012    1.898e-04     1.99e-06   2.435e-05     4.86e-07   1.394e-10     6.88e-11
     0.00700      1.91601     -0.50000      0.22505      0.22630      0.00012    1.480e-04     1.96e-06   2.180e-05     4.86e-07   1.127e-10     4.90e-11
     0.00800      2.18976     -0.50000      0.22685      0.22810      0.00011    1.196e-04     1.50e-06   1.981e-05     5.00e-07   1.012e-10     3.67e-11
     0.00900      2.46351     -0.50000      0.22834      0.22960      0.00011    9.925e-05     1.15e-06   1.821e-05     5.06e-07   9.945e-11     2.86e-11
     0.01000      2.73726     -0.50000      0.22961      0.23087      0.00011    8.413e-05     1.03e-06   1.690e-05     5.04e-07   1.048e-10     2.32e-11
     0.01100      3.01102     -0.50000      0.23071      0.23198      0.00011    7.251e-05     9.46e-07   1.580e-05     5.02e-07   1.159e-10     1.96e-11
     0.01200      3.28477     -0.50000      0.23168      0.23296      0.00011    6.335e-05     9.01e-07   1.488e-05     5.05e-07   1.319e-10     1.67e-11
     0.01300      3.55853     -0.50000      0.23256      0.23384      0.00011    5.595e-05     7.19e-07   1.408e-05     4.98e-07   1.521e-10     1.55e-11
     0.01400      3.83229     -0.50000      0.23335      0.23463      0.00011    4.988e-05     6.89e-07   1.339e-05     4.89e-07   1.761e-10     1.55e-11
     0.01500      4.10604     -0.50000      0.23407      0.23535      0.00011    4.482e-05     6.14e-07   1.279e-05     4.86e-07   2.034e-10     1.60e-11
     0.01600      4.37980     -0.50000      0.23473      0.23602      0.00011    4.054e-05     5.57e-07   1.226e-05     4.80e-07   2.339e-10     1.74e-11
     0.01700      4.65356     -0.50000      0.23535      0.23664      0.00011    3.688e-05     5.23e-07   1.179e-05     4.74e-07   2.670e-10     1.93e-11
     0.01800      4.92732     -0.50000      0.23592      0.23721      0.00011    3.371e-05     5.04e-07   1.137e-05     4.69e-07   3.025e-10     2.18e-11
     0.01900      5.20108     -0.50000      0.23646      0.23775      0.00011    3.095e-05     5.00e-07   1.100e-05     4.66e-07   3.402e-10     2.41e-11
     0.02000      5.47485     -0.50000      0.23696      0.23825      0.00011    2.853e-05     4.99e-07   1.066e-05     4.60e-07   3.797e-10     2.70e-11
     0.02025      5.54330     -0.50000      0.23708      0.23838      0.00011    2.797e-05     4.98e-07   1.057e-05     4.56e-07   3.899e-10     2.78e-11
