#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 887.7 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.03400      9.30466     -3.00000      0.19808      0.19922      0.00011    6.823e-06     2.29e-07   6.971e-06     3.53e-07   1.103e-09     7.77e-11
     0.03500      9.57835     -3.00000      0.19834      0.19948      0.00011    6.417e-06     2.38e-07   6.878e-06     3.50e-07   1.143e-09     8.05e-11
     0.03600      9.85203     -3.00000      0.19860      0.19974      0.00011    6.039e-06     2.12e-07   6.789e-06     3.45e-07   1.182e-09     8.31e-11
     0.03700     10.12572     -3.00000      0.19885      0.19999      0.00011    5.688e-06     2.01e-07   6.705e-06     3.41e-07   1.221e-09     8.56e-11
     0.03800     10.39941     -3.00000      0.19909      0.20023      0.00011    5.361e-06     2.02e-07   6.624e-06     3.37e-07   1.259e-09     8.84e-11
     0.03900     10.67309     -3.00000      0.19932      0.20046      0.00011    5.056e-06     1.90e-07   6.547e-06     3.34e-07   1.296e-09     9.09e-11
     0.04000     10.94678     -3.00000      0.19955      0.20069      0.00011    4.771e-06     2.00e-07   6.474e-06     3.31e-07   1.333e-09     9.36e-11

     0.00500      1.36835     -2.00000      0.19765      0.19879      0.00011    1.969e-04     2.34e-06   2.507e-05     4.84e-07   1.244e-10     6.20e-11
     0.00600      1.64200     -2.00000      0.20038      0.20153      0.00011    1.474e-04     1.86e-06   2.197e-05     5.05e-07   9.703e-11     4.20e-11
     0.00700      1.91570     -2.00000      0.20247      0.20363      0.00011    1.157e-04     1.46e-06   1.966e-05     5.04e-07   8.683e-11     3.04e-11
     0.00800      2.18941     -2.00000      0.20416      0.20532      0.00011    9.391e-05     1.11e-06   1.787e-05     5.06e-07   8.712e-11     2.32e-11
     0.00900      2.46311     -2.00000      0.20557      0.20674      0.00011    7.826e-05     9.98e-07   1.644e-05     5.04e-07   9.495e-11     1.83e-11
     0.01000      2.73682     -2.00000      0.20678      0.20796      0.00011    6.652e-05     8.97e-07   1.528e-05     5.04e-07   1.088e-10     1.52e-11
     0.01100      3.01053     -2.00000      0.20784      0.20902      0.00011    5.745e-05     7.95e-07   1.431e-05     5.02e-07   1.277e-10     1.34e-11
     0.01200      3.28423     -2.00000      0.20878      0.20997      0.00011    5.025e-05     7.16e-07   1.349e-05     4.95e-07   1.511e-10     1.32e-11
     0.01300      3.55794     -2.00000      0.20963      0.21082      0.00011    4.441e-05     6.13e-07   1.279e-05     4.86e-07   1.784e-10     1.38e-11
     0.01400      3.83166     -2.00000      0.21040      0.21159      0.00011    3.960e-05     5.73e-07   1.219e-05     4.79e-07   2.091e-10     1.54e-11
     0.01500      4.10537     -2.00000      0.21111      0.21230      0.00011    3.557e-05     5.15e-07   1.166e-05     4.73e-07   2.429e-10     1.74e-11
     0.01600      4.37908     -2.00000      0.21176      0.21296      0.00011    3.215e-05     4.66e-07   1.120e-05     4.65e-07   2.794e-10     1.99e-11
     0.01700      4.65280     -2.00000      0.21236      0.21356      0.00011    2.922e-05     4.33e-07   1.079e-05     4.58e-07   3.181e-10     2.27e-11
     0.01800      4.92651     -2.00000      0.21293      0.21413      0.00011    2.667e-05     4.31e-07   1.042e-05     4.53e-07   3.587e-10     2.56e-11
     0.01900      5.20023     -2.00000      0.21346      0.21466      0.00011    2.445e-05     4.60e-07   1.009e-05     4.46e-07   4.010e-10     2.86e-11
     0.02000      5.47394     -2.00000      0.21395      0.21516      0.00011    2.250e-05     4.59e-07   9.791e-06     4.40e-07   4.446e-10     3.19e-11
     0.02025      5.54239     -2.00000      0.21407      0.21528      0.00011    2.204e-05     4.95e-07   9.720e-06     4.37e-07   4.556e-10     3.26e-11
     0.02050      5.61082     -2.00000      0.21419      0.21540      0.00011    2.160e-05     4.15e-07   9.652e-06     4.37e-07   4.667e-10     3.33e-11
     0.02075      5.67925     -2.00000      0.21431      0.21552      0.00011    2.118e-05     4.10e-07   9.585e-06     4.35e-07   4.779e-10     3.41e-11
     0.02100      5.74768     -2.00000      0.21442      0.21563      0.00011    2.076e-05     4.19e-07   9.519e-06     4.36e-07   4.891e-10     3.49e-11
     0.02125      5.81611     -2.00000      0.21454      0.21574      0.00011    2.036e-05     4.28e-07   9.455e-06     4.34e-07   5.004e-10     3.57e-11
     0.02150      5.88454     -2.00000      0.21465      0.21586      0.00011    1.997e-05     3.88e-07   9.392e-06     4.29e-07   5.117e-10     3.65e-11
     0.02175      5.95297     -2.00000      0.21476      0.21597      0.00011    1.959e-05     4.01e-07   9.331e-06     4.28e-07   5.231e-10     3.73e-11
     0.02200      6.02140     -2.00000      0.21487      0.21608      0.00011    1.922e-05     3.93e-07   9.271e-06     4.26e-07   5.345e-10     3.82e-11
     0.02225      6.08982     -2.00000      0.21498      0.21618      0.00011    1.886e-05     3.56e-07   9.212e-06     4.27e-07   5.459e-10     3.90e-11
     0.02250      6.15825     -2.00000      0.21508      0.21629      0.00011    1.851e-05     3.81e-07   9.155e-06     4.21e-07   5.574e-10     3.98e-11
     0.02275      6.22668     -2.00000      0.21519      0.21640      0.00011    1.816e-05     3.73e-07   9.098e-06     4.23e-07   5.689e-10     4.07e-11
     0.02300      6.29511     -2.00000      0.21529      0.21650      0.00011    1.783e-05     3.70e-07   9.043e-06     4.19e-07   5.804e-10     4.15e-11
     0.02325      6.36354     -2.00000      0.21539      0.21660      0.00011    1.751e-05     3.77e-07   8.989e-06     4.19e-07   5.920e-10     4.24e-11
     0.02350      6.43197     -2.00000      0.21549      0.21671      0.00011    1.719e-05     4.04e-07   8.936e-06     4.21e-07   6.035e-10     4.32e-11
     0.02375      6.50040     -2.00000      0.21559      0.21681      0.00011    1.688e-05     3.75e-07   8.884e-06     4.20e-07   6.151e-10     4.40e-11
     0.02400      6.56883     -2.00000      0.21569      0.21691      0.00011    1.658e-05     3.91e-07   8.833e-06     4.16e-07   6.267e-10     4.49e-11
     0.02500      6.84254     -2.00000      0.21608      0.21729      0.00011    1.545e-05     3.34e-07   8.639e-06     4.11e-07   6.732e-10     4.82e-11
     0.02600      7.11626     -2.00000      0.21644      0.21766      0.00011    1.443e-05     3.18e-07   8.459e-06     4.04e-07   7.197e-10     5.17e-11
     0.02700      7.38998     -2.00000      0.21680      0.21801      0.00011    1.349e-05     3.42e-07   8.292e-06     4.03e-07   7.661e-10     5.48e-11
     0.02800      7.66371     -2.00000      0.21714      0.21835      0.00011    1.264e-05     3.17e-07   8.135e-06     3.96e-07   8.123e-10     5.80e-11
     0.02900      7.93743     -2.00000      0.21746      0.21868      0.00011    1.186e-05     2.90e-07   7.989e-06     3.91e-07   8.583e-10     6.14e-11
     0.03000      8.21115     -2.00000      0.21777      0.21899      0.00011    1.114e-05     2.85e-07   7.852e-06     3.86e-07   9.039e-10     6.45e-11
     0.03100      8.48488     -2.00000      0.21807      0.21930      0.00011    1.047e-05     2.69e-07   7.723e-06     3.81e-07   9.491e-10     6.76e-11
     0.03200      8.75860     -2.00000      0.21837      0.21959      0.00011    9.858e-06     2.76e-07   7.602e-06     3.74e-07   9.938e-10     7.11e-11
     0.03300      9.03233     -2.00000      0.21865      0.21987      0.00011    9.289e-06     2.88e-07   7.487e-06     3.73e-07   1.038e-09     7.39e-11
     0.03400      9.30605     -2.00000      0.21892      0.22015      0.00011    8.762e-06     2.61e-07   7.378e-06     3.67e-07   1.082e-09     7.68e-11
     0.03500      9.57978     -2.00000      0.21918      0.22041      0.00011    8.272e-06     2.50e-07   7.275e-06     3.65e-07   1.125e-09     7.98e-11
     0.03600      9.85350     -2.00000      0.21944      0.22067      0.00011    7.815e-06     2.60e-07   7.178e-06     3.60e-07   1.167e-09     8.28e-11
     0.03700     10.12723     -2.00000      0.21969      0.22092      0.00011    7.390e-06     2.84e-07   7.085e-06     3.57e-07   1.209e-09     8.60e-11
     0.03800     10.40096     -2.00000      0.21993      0.22116      0.00011    6.992e-06     2.44e-07   6.996e-06     3.53e-07   1.251e-09     8.84e-11
     0.03900     10.67469     -2.00000      0.22016      0.22140      0.00011    6.620e-06     2.20e-07   6.912e-06     3.51e-07   1.292e-09     9.10e-11
     0.04000     10.94842     -2.00000      0.22039      0.22162      0.00011    6.272e-06     2.22e-07   6.832e-06     3.49e-07   1.332e-09     9.38e-11

     0.00500      1.36835     -1.00000      0.21412      0.21533      0.00012    2.364e-04     2.77e-06   2.695e-05     4.72e-07   1.700e-10     8.91e-11
     0.00600      1.64219     -1.00000      0.21703      0.21824      0.00012    1.760e-04     2.27e-06   2.362e-05     4.88e-07   1.249e-10     5.97e-11
     0.00700      1.91593     -1.00000      0.21923      0.22046      0.00012    1.375e-04     1.73e-06   2.114e-05     4.97e-07   1.037e-10     4.28e-11
     0.00800      2.18967     -1.00000      0.22100      0.22223      0.00011    1.112e-04     1.36e-06   1.922e-05     5.04e-07   9.601e-11     3.21e-11
     0.00900      2.46341     -1.00000      0.22246      0.22370      0.00011    9.245e-05     1.13e-06   1.767e-05     5.02e-07   9.732e-11     2.53e-11
     0.01000      2.73715     -1.00000      0.22371      0.22496      0.00011    7.844e-05     9.79e-07   1.640e-05     5.05e-07   1.054e-10     2.04e-11
     0.01100      3.01089     -1.00000      0.22480      0.22605      0.00011    6.765e-05     9.20e-07   1.534e-05     5.01e-07   1.190e-10     1.76e-11
     0.01200      3.28463     -1.00000      0.22577      0.22702      0.00011    5.912e-05     8.35e-07   1.444e-05     5.03e-07   1.373e-10     1.55e-11
     0.01300      3.55838     -1.00000      0.22663      0.22789      0.00011    5.224e-05     7.39e-07   1.368e-05     4.95e-07   1.598e-10     1.47e-11
     0.01400      3.83212     -1.00000      0.22741      0.22867      0.00011    4.658e-05     6.24e-07   1.302e-05     4.87e-07   1.861e-10     1.52e-11
     0.01500      4.10587     -1.00000      0.22813      0.22939      0.00011    4.185e-05     5.68e-07   1.244e-05     4.81e-07   2.156e-10     1.64e-11
     0.01600      4.37962     -1.00000      0.22879      0.23006      0.00011    3.785e-05     5.45e-07   1.193e-05     4.76e-07   2.481e-10     1.80e-11
     0.01700      4.65336     -1.00000      0.22940      0.23067      0.00011    3.442e-05     5.21e-07   1.148e-05     4.71e-07   2.832e-10     2.03e-11
     0.01800      4.92711     -1.00000      0.22997      0.23124      0.00011    3.146e-05     4.73e-07   1.108e-05     4.65e-07   3.206e-10     2.30e-11
     0.01900      5.20086     -1.00000      0.23050      0.23178      0.00011    2.887e-05     4.77e-07   1.071e-05     4.59e-07   3.600e-10     2.57e-11
     0.02000      5.47461     -1.00000      0.23101      0.23228      0.00011    2.660e-05     4.47e-07   1.039e-05     4.54e-07   4.012e-10     2.85e-11
     0.02025      5.54307     -1.00000      0.23113      0.23240      0.00011    2.607e-05     4.43e-07   1.031e-05     4.52e-07   4.117e-10     2.92e-11
     0.02050      5.61150     -1.00000      0.23125      0.23252      0.00011    2.556e-05     4.43e-07   1.023e-05     4.50e-07   4.223e-10     3.00e-11
     0.02075      5.67994     -1.00000      0.23136      0.23264      0.00011    2.507e-05     4.48e-07   1.016e-05     4.49e-07   4.330e-10     3.08e-11
     0.02100      5.74838     -1.00000      0.23148      0.23275      0.00011    2.459e-05     4.45e-07   1.009e-05     4.46e-07   4.438e-10     3.16e-11
     0.02125      5.81682     -1.00000      0.23159      0.23287      0.00011    2.412e-05     4.47e-07   1.002e-05     4.47e-07   4.546e-10     3.24e-11
     0.02150      5.88525     -1.00000      0.23170      0.23298      0.00011    2.366e-05     4.43e-07   9.949e-06     4.43e-07   4.655e-10     3.32e-11
     0.02175      5.95369     -1.00000      0.23182      0.23309      0.00011    2.322e-05     4.57e-07   9.882e-06     4.42e-07   4.765e-10     3.41e-11
     0.02200      6.02213     -1.00000      0.23193      0.23320      0.00011    2.279e-05     4.73e-07   9.816e-06     4.41e-07   4.876e-10     3.50e-11
     0.02225      6.09057     -1.00000      0.23203      0.23331      0.00011    2.238e-05     4.76e-07   9.752e-06     4.39e-07   4.987e-10     3.56e-11
     0.02250      6.15901     -1.00000      0.23214      0.23342      0.00011    2.197e-05     4.01e-07   9.689e-06     4.38e-07   5.098e-10     3.64e-11
     0.02275      6.22745     -1.00000      0.23225      0.23352      0.00011    2.157e-05     3.89e-07   9.627e-06     4.37e-07   5.210e-10     3.72e-11
     0.02300      6.29588     -1.00000      0.23235      0.23363      0.00011    2.119e-05     4.10e-07   9.567e-06     4.37e-07   5.323e-10     3.82e-11
     0.02325      6.36432     -1.00000      0.23245      0.23373      0.00011    2.081e-05     4.05e-07   9.507e-06     4.36e-07   5.436e-10     3.90e-11
     0.02350      6.43276     -1.00000      0.23255      0.23383      0.00011    2.045e-05     3.99e-07   9.449e-06     4.35e-07   5.550e-10     3.98e-11
     0.02375      6.50120     -1.00000      0.23265      0.23393      0.00011    2.009e-05     3.99e-07   9.393e-06     4.34e-07   5.664e-10     4.06e-11
     0.02400      6.56964     -1.00000      0.23275      0.23403      0.00011    1.974e-05     3.94e-07   9.337e-06     4.33e-07   5.778e-10     4.14e-11
     0.02500      6.84338     -1.00000      0.23314      0.23442      0.00011    1.843e-05     3.55e-07   9.125e-06     4.23e-07   6.239e-10     4.47e-11
     0.02600      7.11713     -1.00000      0.23351      0.23479      0.00011    1.725e-05     4.10e-07   8.928e-06     4.20e-07   6.704e-10     4.82e-11
     0.02700      7.39089     -1.00000      0.23386      0.23514      0.00011    1.616e-05     3.48e-07   8.745e-06     4.15e-07   7.171e-10     5.15e-11
     0.02800      7.66464     -1.00000      0.23420      0.23548      0.00011    1.517e-05     3.95e-07   8.574e-06     4.15e-07   7.639e-10     5.49e-11
     0.02900      7.93840     -1.00000      0.23452      0.23581      0.00011    1.427e-05     3.59e-07   8.415e-06     4.07e-07   8.108e-10     5.81e-11
     0.03000      8.21216     -1.00000      0.23483      0.23612      0.00011    1.343e-05     3.54e-07   8.265e-06     4.04e-07   8.575e-10     6.14e-11
     0.03100      8.48591     -1.00000      0.23514      0.23642      0.00011    1.266e-05     3.10e-07   8.124e-06     3.97e-07   9.041e-10     6.47e-11
     0.03200      8.75967     -1.00000      0.23543      0.23672      0.00011    1.195e-05     3.02e-07   7.992e-06     3.91e-07   9.504e-10     6.81e-11
     0.03300      9.03343     -1.00000      0.23571      0.23700      0.00011    1.129e-05     2.72e-07   7.867e-06     3.88e-07   9.964e-10     7.12e-11
     0.03400      9.30719     -1.00000      0.23598      0.23727      0.00011    1.067e-05     2.73e-07   7.749e-06     3.83e-07   1.042e-09     7.43e-11
     0.03500      9.58095     -1.00000      0.23624      0.23754      0.00011    1.010e-05     2.99e-07   7.637e-06     3.78e-07   1.087e-09     7.77e-11
     0.03600      9.85471     -1.00000      0.23650      0.23779      0.00011    9.571e-06     2.72e-07   7.531e-06     3.76e-07   1.132e-09     8.06e-11
     0.03700     10.12847     -1.00000      0.23675      0.23804      0.00011    9.074e-06     2.52e-07   7.430e-06     3.72e-07   1.176e-09     8.37e-11
     0.03800     10.40223     -1.00000      0.23699      0.23828      0.00011    8.610e-06     2.63e-07   7.334e-06     3.68e-07   1.220e-09     8.66e-11
     0.03900     10.67599     -1.00000      0.23722      0.23852      0.00011    8.175e-06     2.63e-07   7.243e-06     3.63e-07   1.263e-09     8.96e-11
     0.04000     10.94975     -1.00000      0.23745      0.23875      0.00011    7.767e-06     2.47e-07   7.156e-06     3.59e-07   1.306e-09     9.26e-11

     0.00500      1.36835     -0.50000      0.22136      0.22259      0.00012    2.568e-04     3.02e-06   2.782e-05     4.72e-07   1.966e-10     1.05e-10
     0.00600      1.64228     -0.50000      0.22435      0.22559      0.00012    1.907e-04     2.18e-06   2.438e-05     4.90e-07   1.413e-10     6.99e-11
     0.00700      1.91603     -0.50000      0.22660      0.22786      0.00012    1.486e-04     2.25e-06   2.183e-05     4.86e-07   1.141e-10     4.98e-11
     0.00800      2.18978     -0.50000      0.22840      0.22967      0.00011    1.201e-04     1.51e-06   1.984e-05     4.97e-07   1.022e-10     3.73e-11
     0.00900      2.46354     -0.50000      0.22989      0.23116      0.00011    9.965e-05     1.11e-06   1.824e-05     5.05e-07   1.003e-10     2.90e-11
     0.01000      2.73729     -0.50000      0.23116      0.23243      0.00011    8.446e-05     1.12e-06   1.693e-05     5.05e-07   1.055e-10     2.34e-11
     0.01100      3.01105     -0.50000      0.23226      0.23354      0.00011    7.278e-05     9.80e-07   1.583e-05     5.02e-07   1.166e-10     2.00e-11
     0.01200      3.28481     -0.50000      0.23323      0.23452      0.00011    6.358e-05     8.71e-07   1.490e-05     5.06e-07   1.325e-10     1.69e-11
     0.01300      3.55857     -0.50000      0.23411      0.23539      0.00011    5.615e-05     7.89e-07   1.410e-05     4.98e-07   1.527e-10     1.57e-11
     0.01400      3.83233     -0.50000      0.23490      0.23618      0.00011    5.006e-05     6.49e-07   1.341e-05     4.90e-07   1.767e-10     1.55e-11
     0.01500      4.10609     -0.50000      0.23562      0.23691      0.00011    4.498e-05     6.15e-07   1.281e-05     4.85e-07   2.042e-10     1.61e-11
     0.01600      4.37985     -0.50000      0.23628      0.23757      0.00011    4.068e-05     5.52e-07   1.228e-05     4.75e-07   2.347e-10     1.76e-11
     0.01700      4.65361     -0.50000      0.23689      0.23819      0.00011    3.700e-05     5.47e-07   1.181e-05     4.75e-07   2.679e-10     1.94e-11
     0.01800      4.92738     -0.50000      0.23746      0.23876      0.00011    3.383e-05     5.00e-07   1.139e-05     4.67e-07   3.036e-10     2.18e-11
     0.01900      5.20114     -0.50000      0.23800      0.23930      0.00011    3.106e-05     4.78e-07   1.101e-05     4.64e-07   3.415e-10     2.43e-11
     0.02000      5.47491     -0.50000      0.23850      0.23980      0.00011    2.863e-05     5.01e-07   1.067e-05     4.60e-07   3.812e-10     2.71e-11
     0.02025      5.54336     -0.50000      0.23862      0.23992      0.00011    2.807e-05     4.98e-07   1.059e-05     4.58e-07   3.914e-10     2.79e-11
     0.02050      5.61180     -0.50000      0.23874      0.24004      0.00011    2.752e-05     5.00e-07   1.051e-05     4.56e-07   4.017e-10     2.86e-11
     0.02075      5.68025     -0.50000      0.23886      0.24016      0.00011    2.699e-05     5.06e-07   1.043e-05     4.55e-07   4.120e-10     2.93e-11
     0.02100      5.74869     -0.50000      0.23897      0.24028      0.00011    2.648e-05     4.98e-07   1.036e-05     4.54e-07   4.225e-10     3.02e-11
     0.02125      5.81713     -0.50000      0.23909      0.24039      0.00011    2.598e-05     4.94e-07   1.028e-05     4.52e-07   4.331e-10     3.11e-11
     0.02150      5.88557     -0.50000      0.23920      0.24050      0.00011    2.549e-05     4.84e-07   1.021e-05     4.51e-07   4.437e-10     3.18e-11
     0.02175      5.95401     -0.50000      0.23931      0.24062      0.00011    2.502e-05     4.64e-07   1.014e-05     4.49e-07   4.544e-10     3.25e-11
     0.02200      6.02245     -0.50000      0.23942      0.24073      0.00011    2.456e-05     4.47e-07   1.007e-05     4.47e-07   4.652e-10     3.33e-11
     0.02225      6.09090     -0.50000      0.23953      0.24083      0.00011    2.411e-05     4.33e-07   1.001e-05     4.46e-07   4.761e-10     3.41e-11
     0.02250      6.15934     -0.50000      0.23964      0.24094      0.00011    2.368e-05     4.19e-07   9.942e-06     4.44e-07   4.870e-10     3.49e-11
     0.02275      6.22778     -0.50000      0.23974      0.24105      0.00011    2.326e-05     4.11e-07   9.878e-06     4.42e-07   4.980e-10     3.56e-11
     0.02300      6.29622     -0.50000      0.23985      0.24115      0.00011    2.284e-05     4.18e-07   9.815e-06     4.44e-07   5.090e-10     3.64e-11
     0.02325      6.36466     -0.50000      0.23995      0.24125      0.00011    2.244e-05     4.27e-07   9.753e-06     4.42e-07   5.202e-10     3.73e-11
     0.02350      6.43311     -0.50000      0.24005      0.24136      0.00011    2.205e-05     4.18e-07   9.693e-06     4.41e-07   5.313e-10     3.81e-11
     0.02375      6.50155     -0.50000      0.24015      0.24146      0.00011    2.167e-05     4.17e-07   9.634e-06     4.39e-07   5.425e-10     3.89e-11
     0.02400      6.56999     -0.50000      0.24025      0.24156      0.00011    2.130e-05     4.07e-07   9.576e-06     4.37e-07   5.538e-10     3.98e-11
     0.02500      6.84374     -0.50000      0.24063      0.24194      0.00011    1.990e-05     4.10e-07   9.355e-06     4.31e-07   5.993e-10     4.31e-11
     0.02600      7.11751     -0.50000      0.24100      0.24231      0.00011    1.864e-05     4.09e-07   9.150e-06     4.26e-07   6.454e-10     4.64e-11
     0.02700      7.39128     -0.50000      0.24135      0.24267      0.00011    1.748e-05     4.18e-07   8.959e-06     4.22e-07   6.919e-10     4.98e-11
     0.02800      7.66505     -0.50000      0.24169      0.24300      0.00011    1.642e-05     4.06e-07   8.782e-06     4.17e-07   7.386e-10     5.32e-11
     0.02900      7.93883     -0.50000      0.24202      0.24333      0.00011    1.545e-05     3.78e-07   8.616e-06     4.12e-07   7.855e-10     5.64e-11
     0.03000      8.21260     -0.50000      0.24233      0.24364      0.00011    1.456e-05     3.40e-07   8.460e-06     4.08e-07   8.324e-10     5.97e-11
